Id,gender,age,nationality,sport,ind-university_grade,ind-debateclub,ind-programming_exp,ind-international_exp,ind-entrepeneur_exp,ind-languages,ind-exact_study,ind-degree,company,decision
x8756b,0,28,Dutch,Golf,61,0,0,0,0,1,1,1,B,False
x4239e,0,22,Dutch,Tennis,76,0,1,0,1,2,1,2,B,True
x2502a,1,29,Dutch,Golf,64,0,0,1,0,1,1,2,B,False
x7998a,1,28,Dutch,Football,70,0,1,0,0,2,1,2,B,True
x3418a,1,21,Dutch,Tennis,63,0,0,0,0,2,1,1,B,False
x7327d,1,26,Dutch,Football,72,1,1,0,1,2,1,2,B,True
x5216g,0,29,Dutch,Golf,64,0,1,1,0,1,1,2,B,False
x3299d,1,27,Dutch,Football,50,1,0,0,1,2,0,1,B,True
x4132g,1,21,Belgian,Tennis,71,0,1,0,0,1,1,1,B,False
x3744a,1,22,Dutch,Tennis,65,0,1,0,0,2,1,1,B,True
x8019g,1,28,Dutch,Golf,63,0,0,0,0,1,0,1,B,False
x2790e,1,30,Dutch,Football,55,0,0,0,0,2,0,1,B,True
x9151d,0,24,Dutch,Tennis,63,0,0,0,0,1,1,1,B,False
x2253g,1,24,Dutch,Tennis,69,1,0,0,1,2,1,1,B,False
x9342e,0,23,Dutch,Tennis,56,0,0,0,0,1,0,1,B,False
x6415b,2,26,Dutch,Tennis,57,0,0,0,0,1,0,1,B,False
x5835g,0,21,Dutch,Tennis,69,0,1,0,1,2,1,2,B,True
x2041b,1,27,Dutch,Football,53,1,0,0,0,2,0,2,B,True
x6901f,1,30,Dutch,Football,59,1,0,0,0,2,0,2,B,True
x1161c,2,30,Dutch,Golf,64,0,1,0,0,0,0,1,B,False
x9554a,1,30,Dutch,Football,67,0,0,1,0,1,1,2,B,False
x9979b,1,30,Dutch,Football,51,0,0,0,1,2,0,1,B,False
x9230c,1,30,Dutch,Football,57,0,0,0,0,1,0,2,B,False
x3153d,1,30,Dutch,Football,54,0,0,0,0,2,0,2,B,True
x6719d,1,22,German,Tennis,69,0,1,0,0,2,1,2,B,False
x5878g,1,28,Belgian,Football,60,1,0,0,1,3,0,1,B,True
x4456e,1,28,German,Football,65,0,0,1,1,2,0,3,B,True
x3701f,0,26,Dutch,Tennis,67,0,1,0,0,1,1,1,B,False
x9103c,0,29,Dutch,Football,56,0,0,0,0,0,0,1,B,False
x3397a,1,22,Dutch,Tennis,60,1,1,0,0,2,0,1,B,False
x2208e,0,26,Dutch,Football,63,1,0,1,0,2,0,2,B,True
x3623f,0,26,Belgian,Football,66,0,0,0,1,1,1,2,B,False
x3721a,0,26,Dutch,Tennis,63,1,0,1,1,3,0,3,B,True
x7248f,0,25,Dutch,Tennis,72,0,1,0,0,1,1,3,B,False
x4205f,1,26,Dutch,Tennis,73,0,1,0,0,1,1,2,B,False
x4953f,0,21,Dutch,Tennis,62,0,0,1,0,1,1,1,B,False
x5708c,1,27,Dutch,Football,55,0,0,0,0,2,0,1,B,True
x5942g,1,28,Dutch,Golf,59,0,0,0,0,1,0,1,B,False
x7607a,1,25,Dutch,Football,65,0,1,0,0,1,1,1,B,False
x9792d,0,27,Dutch,Football,67,1,1,0,0,2,1,2,B,True
x1437d,1,25,German,Football,65,0,1,0,0,1,1,1,B,False
x9750c,1,27,Belgian,Football,63,1,0,0,1,3,0,2,B,True
x1612a,0,25,Belgian,Football,55,0,0,1,0,2,0,2,B,True
x5522d,1,25,Dutch,Football,53,1,0,0,1,3,0,2,B,True
x3240d,1,26,Dutch,Football,62,0,0,0,0,2,0,1,B,False
x7054d,1,26,Dutch,Football,58,1,0,0,1,3,0,1,B,False
x7882c,1,27,Dutch,Golf,64,0,0,0,0,1,1,2,B,False
x5209g,0,29,Dutch,Football,57,0,0,0,0,0,0,1,B,False
x2981g,1,28,German,Football,60,0,0,0,0,1,1,1,B,False
x1807g,0,28,German,Football,60,0,0,0,0,1,0,2,B,False
x5115e,1,32,Dutch,Golf,61,0,0,1,0,1,0,2,B,False
x8674c,0,21,German,Tennis,56,0,0,0,0,1,0,1,B,False
x1701e,1,26,Dutch,Golf,66,0,0,0,0,1,1,1,B,False
x8088a,0,27,Dutch,Golf,70,0,1,0,0,1,1,2,B,False
x7808e,1,21,Dutch,Football,65,0,0,0,0,1,1,1,B,False
x5706d,1,29,Dutch,Tennis,61,0,0,0,1,2,0,1,B,True
x9644g,0,28,Dutch,Golf,54,0,0,0,0,1,0,1,B,False
x1916g,1,31,Dutch,Golf,60,0,0,1,0,1,0,1,B,False
x8040c,1,25,Dutch,Football,67,1,0,0,0,3,0,2,B,True
x4183a,0,31,Dutch,Golf,66,0,1,0,0,1,1,2,B,False
x4240b,0,28,Belgian,Tennis,50,0,0,1,0,1,0,2,B,False
x5630d,1,25,Dutch,Football,53,0,0,0,1,3,0,2,B,True
x3995e,2,28,Dutch,Tennis,57,0,0,0,1,2,0,1,B,True
x7012e,1,27,Dutch,Tennis,62,1,0,1,0,2,0,3,B,True
x7860b,1,27,Belgian,Football,56,1,0,0,1,3,0,2,B,True
x6306d,0,22,Dutch,Football,58,0,1,0,0,1,0,1,B,False
x6969a,1,27,German,Golf,59,0,0,1,0,1,0,2,B,False
x1250d,1,21,Belgian,Football,76,1,1,0,0,2,1,3,B,True
x6928d,0,26,Dutch,Tennis,67,0,1,0,0,2,1,1,B,False
x3017a,0,31,Dutch,Golf,55,0,0,1,0,0,0,2,B,False
x7352b,1,32,German,Football,64,0,1,0,0,0,1,3,B,False
x9960d,1,25,Dutch,Football,65,1,1,0,0,2,0,2,B,False
x9879c,0,27,Dutch,Football,61,0,0,0,0,1,0,1,B,False
x3843d,1,26,Dutch,Golf,55,0,0,0,0,0,0,1,B,False
x4144g,0,29,Dutch,Tennis,59,1,0,0,1,3,0,2,B,True
x9480d,2,23,German,Tennis,72,1,1,0,0,2,1,2,B,False
x5695c,1,26,Dutch,Football,59,0,0,0,0,1,0,2,B,False
x2149c,1,22,Dutch,Football,64,0,0,0,0,1,1,1,B,False
x8207g,1,30,Dutch,Football,66,1,0,1,1,2,0,2,B,True
x1061b,1,25,Dutch,Football,49,1,0,0,0,2,0,1,B,False
x8686a,1,27,Dutch,Football,54,0,0,0,0,2,0,1,B,True
x6262d,1,27,Dutch,Golf,72,0,1,0,0,1,1,3,B,False
x6448d,1,30,Dutch,Football,59,0,0,0,1,2,0,1,B,False
x1295g,0,29,Belgian,Golf,62,0,1,0,0,1,0,1,B,False
x4265e,0,27,Dutch,Football,56,0,0,0,0,3,0,1,B,False
x3589b,1,26,Dutch,Football,66,0,1,0,0,2,1,1,B,False
x5479g,0,31,Belgian,Golf,60,0,0,1,0,1,0,1,B,False
x4718g,0,25,Dutch,Tennis,71,0,1,0,0,1,1,2,B,False
x9189g,1,27,Dutch,Football,54,0,0,1,0,2,0,2,B,True
x3397b,1,31,German,Golf,57,0,0,1,0,0,0,3,B,False
x6681c,0,28,Belgian,Football,65,1,0,0,0,2,1,1,B,True
x1875f,0,24,Dutch,Football,64,0,1,0,0,1,1,2,B,False
x3807b,1,24,Dutch,Football,53,1,0,0,1,2,0,1,B,True
x2315f,1,30,Dutch,Football,67,0,0,1,0,2,0,2,B,False
x3720d,2,28,Dutch,Golf,63,0,0,0,0,1,1,1,B,False
x1452b,1,24,Dutch,Football,60,1,0,0,1,3,0,1,B,False
x8742f,1,30,Dutch,Football,51,0,0,0,0,2,0,1,B,False
x5547b,1,31,Dutch,Football,68,0,0,1,0,0,1,3,B,False
x3980d,1,22,Dutch,Football,64,0,1,0,0,2,1,1,B,False
x8558e,1,28,Dutch,Football,71,0,1,0,1,2,1,1,B,False
x6713e,1,31,Dutch,Golf,57,0,0,1,0,1,0,2,B,False
x2398b,1,22,Dutch,Football,72,0,1,0,1,2,1,2,B,False
x7324b,0,28,German,Football,64,1,0,0,1,3,0,2,B,True
x2990g,1,28,Dutch,Football,64,0,0,1,0,1,1,1,B,False
x7723e,0,32,German,Golf,64,0,0,0,0,1,1,2,B,False
x8724f,1,22,Belgian,Football,67,0,1,0,0,1,1,2,B,False
x8402f,0,32,Dutch,Golf,63,0,0,0,0,0,1,2,B,False
x3000b,1,26,German,Golf,53,0,0,1,0,0,0,1,B,False
x2751d,0,27,Dutch,Golf,67,0,1,0,0,1,1,1,B,False
x9974c,0,23,Dutch,Tennis,70,1,1,0,0,2,1,1,B,True
x8327a,0,28,German,Football,70,0,1,0,0,1,1,2,B,False
x6711c,1,31,Dutch,Golf,60,0,0,1,0,2,0,3,B,False
x4976g,1,27,Dutch,Football,63,0,0,0,1,2,0,2,B,True
x1571f,1,24,Dutch,Football,64,0,1,0,0,1,1,1,B,False
x8638e,1,22,Dutch,Tennis,72,1,1,0,1,2,1,2,B,True
x6581c,1,31,Dutch,Golf,65,0,1,0,0,0,1,1,B,False
x2649g,0,26,Dutch,Football,61,1,0,0,1,3,0,2,B,True
x8381e,1,24,Belgian,Golf,66,1,1,0,0,2,1,1,B,False
x7113a,0,24,Dutch,Tennis,70,0,1,0,0,2,1,1,B,True
x8792d,1,24,Belgian,Football,66,0,0,1,1,2,1,2,B,True
x5347e,1,21,Dutch,Football,62,0,0,0,0,2,1,1,B,True
x3013b,0,28,Dutch,Golf,63,1,1,0,0,1,1,1,B,False
x7453a,1,24,Dutch,Football,68,1,1,0,1,3,1,1,B,True
x3063c,1,28,Belgian,Football,59,1,0,0,1,3,0,1,B,True
x8658c,1,22,Dutch,Football,62,0,1,0,0,1,1,1,B,False
x4943e,0,25,Dutch,Golf,67,1,1,0,0,2,1,1,B,True
x1523f,0,28,German,Football,64,0,0,0,0,1,1,1,B,False
x7584a,0,27,German,Football,64,1,0,0,0,2,1,1,B,True
x5616a,1,27,Belgian,Football,61,0,0,1,0,0,0,3,B,False
x3764g,1,25,Dutch,Tennis,72,1,1,0,0,2,1,2,B,True
x3347e,1,32,Dutch,Football,57,0,0,1,0,0,0,2,B,False
x2202b,1,27,Dutch,Tennis,54,0,0,0,0,1,0,1,B,False
x4114d,1,32,Dutch,Golf,60,0,0,1,0,1,0,2,B,False
x9723e,1,27,Dutch,Tennis,52,0,0,1,1,2,0,2,B,True
x5723b,1,29,Dutch,Tennis,61,1,0,1,1,2,0,2,B,True
x2412e,1,26,Dutch,Football,61,1,0,0,1,3,0,1,B,True
x8526g,1,25,Belgian,Tennis,62,0,1,0,0,1,1,1,B,False
x3596f,1,28,Dutch,Tennis,62,1,0,0,0,2,0,2,B,True
x1366g,0,29,Dutch,Football,66,1,0,0,1,3,0,2,B,True
x6018e,0,24,Dutch,Football,56,0,0,0,0,1,0,1,B,False
x5139f,1,25,Dutch,Football,62,0,0,0,0,1,0,1,B,False
x2554e,1,29,Dutch,Football,63,0,0,0,1,2,0,1,B,True
x7043g,1,27,Dutch,Football,63,0,1,0,0,2,1,1,B,False
x7619f,1,24,German,Tennis,71,1,1,0,0,2,1,1,B,True
x3537d,0,28,Dutch,Football,70,0,1,0,0,1,1,1,B,False
x7222e,0,32,Dutch,Football,63,0,0,1,0,1,1,2,B,False
x5004f,1,28,Dutch,Football,55,0,0,0,0,1,0,1,B,False
x9433f,0,32,Dutch,Golf,67,0,0,1,0,1,1,2,B,False
x2463e,1,28,Dutch,Football,63,1,0,1,1,2,0,3,B,True
x8789g,1,30,Dutch,Football,59,0,0,0,0,1,0,1,B,False
x5388a,1,27,Dutch,Football,54,0,0,0,0,1,0,1,B,False
x1045d,0,28,Dutch,Football,68,0,1,0,0,1,1,2,B,False
x2411c,1,21,Dutch,Tennis,59,0,0,0,0,1,0,1,B,False
x1314d,0,25,Dutch,Football,54,1,0,0,1,3,0,2,B,True
x3171d,1,22,Dutch,Football,67,0,1,0,0,1,1,1,B,False
x6174f,1,28,Dutch,Football,63,0,0,0,0,1,0,2,B,False
x1306c,0,21,German,Football,61,0,0,1,0,1,0,1,B,False
x8150c,2,28,German,Tennis,60,0,0,0,0,1,1,1,B,False
x7264a,0,30,Dutch,Golf,63,0,0,1,0,0,1,2,B,False
x6864c,0,25,Dutch,Football,66,0,1,0,0,1,1,1,B,False
x2754c,1,24,Dutch,Tennis,75,1,1,0,1,2,1,2,B,True
x8921f,1,23,Dutch,Tennis,69,1,0,0,1,2,1,2,B,True
x2336f,1,24,Dutch,Football,61,1,0,0,1,2,0,1,B,True
x2074g,1,31,Dutch,Golf,60,0,0,1,0,0,0,2,B,False
x3581f,1,24,Dutch,Tennis,53,0,0,0,0,2,0,2,B,True
x6754e,1,32,Dutch,Golf,67,0,0,1,0,1,1,2,B,False
x9713d,0,21,Dutch,Football,69,1,1,0,0,2,1,1,B,False
x1982b,1,24,Dutch,Football,69,0,0,0,1,2,1,2,B,True
x1661d,0,28,Dutch,Tennis,66,0,0,0,0,1,1,1,B,False
x9561c,1,25,German,Golf,70,0,1,0,1,2,1,1,B,False
x1707f,1,21,Dutch,Tennis,63,0,0,0,1,1,0,1,B,False
x4290f,1,28,Dutch,Football,60,0,0,0,1,2,0,1,B,False
x5116a,1,28,Dutch,Football,59,0,0,1,0,1,0,2,B,False
x4801d,0,27,Dutch,Football,62,1,0,0,0,2,0,2,B,True
x8912e,1,29,Dutch,Football,49,1,0,0,1,2,0,1,B,False
x4048b,0,22,Dutch,Football,58,0,0,0,0,1,0,1,B,False
x4602b,1,27,Dutch,Football,52,1,0,1,0,2,0,3,B,False
x1888d,1,28,German,Tennis,52,1,0,0,1,2,0,2,B,True
x6596d,1,26,Dutch,Football,50,0,0,0,0,1,0,1,B,False
x1420e,1,27,Dutch,Football,64,0,0,0,1,2,0,1,B,False
x6658c,0,31,Dutch,Golf,70,0,1,1,0,1,1,2,B,True
x3906b,0,30,Dutch,Golf,64,0,0,0,0,1,0,2,B,False
x1667e,1,27,Dutch,Golf,68,1,1,0,0,2,1,2,B,True
x5120e,1,26,Dutch,Tennis,60,1,0,0,1,3,0,3,B,True
x9821e,0,29,Dutch,Golf,64,0,0,0,0,1,0,1,B,False
x5364f,1,24,Dutch,Football,61,0,0,0,1,2,0,1,B,True
x7341g,1,21,Dutch,Football,66,0,0,0,0,1,1,1,B,False
x3127e,1,25,Dutch,Football,66,1,0,0,1,3,0,2,B,True
x4990c,2,31,Dutch,Golf,59,0,0,1,0,1,0,2,B,False
x9709e,1,25,Dutch,Tennis,55,0,0,0,0,2,0,2,B,True
x8341b,1,24,Dutch,Football,55,1,0,0,1,3,0,2,B,True
x7933a,0,30,Dutch,Golf,64,0,0,1,0,1,0,3,B,False
x6505b,0,30,German,Football,64,0,0,1,0,0,1,2,B,False
x1203f,1,26,Dutch,Football,51,1,0,1,0,2,0,2,B,True
x9225d,1,28,Dutch,Football,63,1,0,0,1,2,1,1,B,True
x2606a,1,28,Dutch,Golf,66,0,1,0,0,1,1,1,B,False
x7742e,1,24,Dutch,Football,48,0,0,0,0,2,0,1,B,False
x4211d,1,30,Dutch,Tennis,69,1,0,1,1,3,0,2,B,True
x6788g,1,27,Dutch,Football,49,0,0,0,0,1,0,1,B,False
x9470e,1,26,Dutch,Football,55,1,0,0,0,3,0,2,B,True
x1243e,1,22,Dutch,Football,64,0,1,0,1,2,1,1,B,False
x3849g,1,25,Dutch,Tennis,66,0,0,0,0,2,0,2,B,True
x6469d,0,29,Belgian,Football,64,0,1,1,0,0,1,2,B,False
x7482b,0,25,Dutch,Tennis,62,1,0,0,0,2,0,1,B,True
x1487c,1,24,Dutch,Football,57,1,0,1,0,2,0,1,B,False
x8437a,1,27,Dutch,Football,64,1,0,0,0,2,0,2,B,True
x1837g,1,29,Dutch,Tennis,60,1,0,0,1,3,0,2,B,True
x5012d,0,30,Dutch,Football,52,1,0,0,0,2,0,1,B,True
x3103d,1,25,German,Football,57,1,0,1,1,2,0,2,B,True
x8401c,1,25,Dutch,Tennis,57,0,0,0,1,2,0,2,B,True
x1128f,0,24,Dutch,Football,72,0,1,0,0,1,1,2,B,False
x9254f,1,25,German,Tennis,72,0,1,0,0,2,1,2,B,True
x7633g,1,27,Dutch,Tennis,67,0,1,0,0,1,1,2,B,False
x5716b,1,27,Dutch,Football,56,1,0,1,1,2,0,2,B,True
x2682b,0,25,Dutch,Golf,64,0,0,0,0,1,0,1,B,False
x7265d,0,30,German,Football,65,0,0,0,0,0,1,1,B,False
x6935e,1,26,Dutch,Tennis,65,1,0,0,1,3,0,1,B,True
x8620c,0,25,Dutch,Golf,70,0,1,0,0,1,1,2,B,False
x8536b,1,28,German,Football,60,0,0,0,0,2,0,1,B,False
x8812f,1,22,Belgian,Tennis,62,0,0,0,0,1,1,1,B,False
x4337g,1,30,Dutch,Football,56,0,0,1,1,3,0,2,B,True
x6176d,1,23,Belgian,Tennis,68,1,1,0,0,2,1,1,B,True
x3346c,0,26,Belgian,Football,71,1,1,0,0,2,1,2,B,True
x4240e,0,30,Dutch,Football,65,0,1,1,0,1,0,1,B,False
x6786g,1,26,Dutch,Tennis,65,1,1,0,0,2,1,1,B,False
x3359e,1,23,Dutch,Football,72,0,1,0,0,2,1,2,B,False
x5204e,0,21,Dutch,Tennis,63,1,0,0,1,2,1,1,B,True
x1784b,1,23,Dutch,Football,70,0,1,0,0,1,1,2,B,False
x1056g,1,30,Dutch,Golf,68,0,0,1,0,1,1,2,B,False
x6035g,0,28,Dutch,Football,62,0,1,0,0,1,1,1,B,False
x3742f,1,27,Dutch,Football,55,0,0,0,0,2,0,1,B,True
x8236a,1,28,Dutch,Football,58,1,0,0,1,2,0,2,B,True
x5484a,0,28,Dutch,Football,57,0,0,0,0,1,0,1,B,False
x8470c,0,26,Dutch,Golf,66,0,0,0,0,1,1,2,B,False
x6900g,0,24,Dutch,Football,63,1,0,0,1,3,0,2,B,True
x4422b,1,22,Dutch,Tennis,70,0,1,0,1,2,1,2,B,True
x2212a,0,21,Dutch,Tennis,64,1,0,0,0,2,0,1,B,False
x1192c,1,25,Dutch,Tennis,65,1,0,0,0,2,0,1,B,True
x9702g,1,29,Belgian,Football,61,0,0,0,0,1,0,1,B,False
x5015g,0,28,Dutch,Tennis,57,0,0,0,0,1,0,1,B,False
x5379d,0,29,Dutch,Football,69,0,0,1,0,1,1,2,B,False
x6561g,0,29,Dutch,Football,64,0,0,0,0,2,1,2,B,False
x8488g,1,27,Dutch,Golf,68,0,0,1,0,0,1,3,B,False
x2245g,1,28,Dutch,Golf,63,0,1,1,0,2,0,1,B,False
x3487f,1,27,German,Football,57,1,0,0,1,3,0,2,B,True
x4286b,1,27,Dutch,Football,58,0,0,1,0,2,0,2,B,False
x4687b,0,22,Belgian,Golf,65,0,0,0,0,1,1,2,B,False
x7029a,1,27,Dutch,Golf,67,0,0,1,0,1,0,2,B,False
x8634a,1,32,German,Golf,52,0,0,0,0,0,0,1,B,False
x9289f,1,27,German,Football,52,1,0,0,1,3,0,1,B,True
x3462a,0,26,Dutch,Golf,57,0,0,1,0,1,0,2,B,False
x8551e,1,30,Dutch,Football,58,1,0,0,0,2,0,1,B,True
x9460f,1,28,Dutch,Football,47,1,0,0,1,2,0,1,B,False
x8298g,0,32,Belgian,Golf,56,0,0,0,0,0,0,2,B,False
x9527f,1,25,Dutch,Tennis,58,0,0,0,1,2,0,1,B,True
x7498d,1,23,Dutch,Golf,67,0,1,0,0,2,1,1,B,False
x6982a,1,30,Dutch,Golf,61,0,0,0,0,1,0,1,B,False
x7140g,1,23,Dutch,Golf,66,0,1,0,0,1,0,1,B,False
x2628c,0,25,German,Football,64,0,1,0,0,1,1,1,B,True
x8449d,1,27,Dutch,Golf,57,0,0,1,0,1,0,3,B,False
x5154c,1,26,Dutch,Football,64,0,0,0,0,2,0,2,B,False
x4742f,0,21,Dutch,Football,73,0,1,0,1,2,1,2,B,True
x9892g,1,28,Dutch,Football,52,1,0,0,1,3,0,2,B,True
x8298b,0,25,Dutch,Football,60,1,0,0,0,2,0,1,B,False
x1475d,1,26,Dutch,Golf,64,0,0,1,0,1,1,2,B,False
x7006f,1,26,Dutch,Tennis,56,0,0,1,0,2,0,2,B,True
x2567f,1,30,Belgian,Football,63,1,0,0,1,3,0,2,B,True
x3216d,1,24,Dutch,Football,57,0,0,1,0,2,0,2,B,True
x2287a,1,26,Dutch,Golf,64,0,0,0,1,2,1,1,B,False
x2513e,1,24,Dutch,Football,55,1,0,0,1,3,0,2,B,True
x2423e,1,26,Belgian,Football,53,1,0,0,1,2,0,1,B,True
x9701b,2,30,Dutch,Golf,54,0,0,0,0,0,0,2,B,False
x4386d,0,27,Dutch,Tennis,61,1,0,0,0,2,0,1,B,True
x2140f,1,28,Dutch,Tennis,59,0,0,0,0,2,0,2,B,True
x2261d,1,24,Dutch,Football,59,0,0,0,0,2,0,1,B,True
x8015e,1,30,Dutch,Football,63,0,0,1,0,1,0,1,B,False
x2253c,0,26,Dutch,Golf,64,0,0,0,0,1,0,2,B,False
x2991a,1,26,Belgian,Tennis,61,0,0,0,0,2,0,1,B,True
x7999c,1,21,Dutch,Tennis,60,0,0,0,0,1,0,1,B,False
x6947c,0,31,Dutch,Golf,61,0,0,1,0,1,0,2,B,False
x1954c,1,29,Dutch,Tennis,47,0,0,0,0,1,0,1,B,False
x1642a,1,27,Dutch,Football,55,1,0,0,1,3,0,1,B,True
x7476d,1,29,Dutch,Football,60,0,0,0,1,2,0,2,B,False
x2031e,1,29,German,Football,67,1,1,0,1,3,0,1,B,True
x8639f,1,24,Belgian,Football,52,1,0,0,1,3,0,1,B,True
x5104c,0,30,Dutch,Football,61,1,0,0,0,2,0,1,B,True
x5031f,0,23,Dutch,Football,64,0,0,0,0,1,1,1,B,False
x9954g,1,27,Dutch,Football,60,1,0,0,1,3,0,1,B,True
x3708b,1,29,Dutch,Football,57,1,0,0,1,3,0,3,B,True
x2045a,1,26,German,Football,59,1,0,1,1,2,0,2,B,True
x5307e,1,27,Dutch,Golf,61,0,0,0,0,1,0,1,B,False
x2183d,1,31,Dutch,Football,71,1,0,1,0,1,1,3,B,True
x8727a,0,24,Dutch,Football,62,0,0,0,0,2,1,1,B,False
x5543g,1,30,Dutch,Football,58,0,0,0,1,2,0,1,B,False
x6037b,1,28,Dutch,Football,64,0,0,0,0,1,1,2,B,False
x3688c,1,27,Dutch,Tennis,71,1,1,0,0,2,1,2,B,True
x2955f,1,24,Dutch,Tennis,67,0,1,0,0,2,1,1,B,True
x9054e,0,21,Dutch,Football,68,0,1,0,0,1,1,2,B,False
x1787e,1,27,Dutch,Football,62,0,0,0,0,1,1,1,B,False
x1570f,1,26,Dutch,Tennis,73,1,1,0,1,2,1,2,B,True
x3639d,0,23,Dutch,Football,71,0,1,0,0,1,1,2,B,False
x4992b,1,26,Dutch,Football,53,1,0,0,1,3,0,1,B,True
x5727a,0,27,Dutch,Football,57,0,0,1,0,0,0,2,B,False
x6978d,1,29,Dutch,Tennis,58,0,0,0,0,1,0,1,B,False
x6008g,1,25,Dutch,Football,60,1,0,0,1,2,0,1,B,True
x5683b,0,29,Dutch,Football,64,1,0,0,0,2,0,2,B,False
x9081f,0,23,Dutch,Tennis,64,1,0,0,1,2,0,1,B,True
x4669c,1,28,Dutch,Football,60,0,0,0,1,2,0,1,B,True
x2113c,0,21,Dutch,Tennis,64,0,0,0,0,1,1,1,B,False
x2707g,1,26,Belgian,Golf,58,0,0,1,0,2,0,3,B,False
x6429a,1,26,Dutch,Tennis,68,0,1,0,0,1,1,2,B,False
x1455e,1,29,Dutch,Golf,58,1,0,1,0,2,0,2,B,False
x4299b,0,25,Belgian,Football,61,0,1,0,0,1,1,1,B,False
